                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88311,                0.53625,                0.93548,                0.85524,                0.65347,                0.77505,                0.42813,                  1.227,                0.63117,                 1.0034,              0.0006536,              0.0006536,              0.0006536
                     36,                0.85321,                0.51108,                0.93097,                0.90603,                0.71287,                0.83298,                0.50167,                 1.1175,                0.55897,                0.97524,               0.000614,               0.000614,               0.000614
                     37,                 0.8574,                0.51113,                 0.9574,                0.92686,                0.73267,                0.83483,                0.50111,                  1.056,                0.53855,                0.94092,              0.0005744,              0.0005744,              0.0005744
                     38,                0.85639,                0.52397,                0.95944,                0.90169,                0.72655,                0.84464,                0.50491,                  1.034,                0.52855,                0.93004,              0.0005348,              0.0005348,              0.0005348
                     39,                0.79108,                0.50109,                0.93606,                0.92211,                0.70332,                0.82583,                0.48739,                  1.049,                0.54073,                0.92463,              0.0004952,              0.0004952,              0.0004952
                     40,                0.82452,                0.50879,                0.93059,                0.93428,                0.69307,                0.83587,                0.51172,                 1.0678,                0.53441,                0.94524,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.8098,                0.49738,                0.91481,                0.89829,                0.74257,                0.84177,                0.49232,                 1.0522,                0.53264,                 0.9284,               0.000416,               0.000416,               0.000416
                     42,                0.77822,                 0.4608,                0.90517,                0.91051,                0.73267,                0.85243,                0.51595,                 1.0595,                0.53834,                0.92681,              0.0003764,              0.0003764,              0.0003764
                     43,                0.74726,                0.46986,                0.89405,                0.88017,                 0.7273,                0.85283,                0.50448,                 1.0967,                0.54475,                0.93843,              0.0003368,              0.0003368,              0.0003368
                     44,                0.76757,                0.47187,                0.89678,                0.86923,                0.73267,                 0.8508,                0.49583,                 1.0825,                0.53033,                0.91304,              0.0002972,              0.0002972,              0.0002972
                     45,                0.71418,                0.44005,                0.89259,                0.87819,                0.71379,                0.85984,                0.52004,                 1.0571,                0.52314,                0.91114,              0.0002576,              0.0002576,              0.0002576
                     46,                0.73185,                0.43592,                0.91449,                0.87752,                0.74257,                0.85393,                0.52035,                 1.0259,                0.51039,                0.91704,               0.000218,               0.000218,               0.000218
                     47,                0.70789,                 0.4399,                 0.8824,                0.88273,                0.74257,                0.85649,                0.51509,                 1.0513,                0.51287,                0.92578,              0.0001784,              0.0001784,              0.0001784
                     48,                0.68248,                0.41832,                0.87069,                0.94693,                0.70663,                0.84409,                0.51136,                 1.0393,                0.49858,                0.92337,              0.0001388,              0.0001388,              0.0001388
                     49,                0.66039,                 0.4032,                0.84943,                0.94648,                0.70035,                0.85089,                0.51912,                 1.0307,                0.49229,                0.92058,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.67721,                0.39634,                0.89759,                0.95011,                0.69307,                 0.8484,                0.52101,                 1.0279,                0.49326,                0.91878,               5.96e-05,               5.96e-05,               5.96e-05
